15:03:16.748 [main] INFO  Factile_Mode.DGBP_B_TestCase_2 - Driver is Initilize
15:03:21.748 [main] INFO  Factile_Mode.DGBP_B_TestCase_2 - Navigated to homePage
15:03:53.533 [main] INFO  Factile_Mode.DGBP_B_TestCase_2 - Mascot image is uploaded
15:05:38.163 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - Driver is Initilize
15:05:45.062 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - Navigated to homePage
15:08:51.365 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - Background image is successfully loaded at gameboard, image url is= background: url("https://factile-test-dynamic.s3.amazonaws.com/backgrounds/bg1605260227764pf88814.jpg");
15:08:51.391 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - At Modearter >> Game Board Color is=background-color: rgb(255, 255, 255);
15:08:51.436 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - At Modearter >> Question Tile Color & Dollar colour is=background-color: rgb(242, 184, 58); color: rgb(31, 31, 31);
15:08:51.457 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - At Modearter >> game category title color=color: rgb(135, 81, 232); font-size: 16px;
15:08:55.490 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - At player >> gameboard background image is>>background: url("https://factile-test-dynamic.s3.amazonaws.com/backgrounds/bg1605260227764pf88814.jpg");
15:08:55.511 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - At player >> gameboard gameboard colour is =>>background: rgb(255, 255, 255);
15:08:55.529 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - At player >>game tile color is =>>background: rgb(242, 184, 58);
15:08:55.548 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - At player >>Dollar colour is=>>color: rgb(31, 31, 31);
15:08:55.565 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - At Modearter >> game category Title color=color: rgb(135, 81, 232);
15:09:00.326 [main] INFO  TestCases_Execution.TestCase_1 - Driver is Initilize
15:09:05.155 [main] INFO  TestCases_Execution.TestCase_1 - Navigated to homePage
15:10:23.459 [main] INFO  TestCases_Execution.TestCase_1 - When unchecked from customization setting>>Twitter link is displaying
15:10:23.459 [main] INFO  TestCases_Execution.TestCase_1 - When unchecked from customization setting>>Pintrest link is displaying
15:10:28.217 [main] INFO  TestCases_Execution.TestCase_1 - Driver is Initilize
15:10:32.937 [main] INFO  TestCases_Execution.TestCase_1 - Navigated to homePage
15:59:34.937 [main] INFO  Factile_Mode.DGBM_B_TestCase_1 - Driver is Initilize
15:59:42.898 [main] INFO  Factile_Mode.DGBM_B_TestCase_1 - Navigated to homePage
16:01:51.596 [main] INFO  Factile_Mode.DGBM_B_TestCase_1 - Left logo is present>>=factile
16:01:59.816 [main] INFO  Factile_Mode.DGBP_B_TestCase_2 - Driver is Initilize
16:02:04.612 [main] INFO  Factile_Mode.DGBP_B_TestCase_2 - Navigated to homePage
16:02:56.986 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - Driver is Initilize
16:03:02.301 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - Navigated to homePage
16:05:59.971 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_4 - Driver is Initilize
16:06:04.884 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_4 - Navigated to homePage
16:06:45.832 [main] INFO  Factile_Mode.DGBM_B_TestCase_1 - Driver is Initilize
16:06:50.181 [main] INFO  Factile_Mode.DGBM_B_TestCase_1 - Navigated to homePage
16:08:32.549 [main] INFO  Factile_Mode.DGBP_B_TestCase_2 - Driver is Initilize
16:08:37.069 [main] INFO  Factile_Mode.DGBP_B_TestCase_2 - Navigated to homePage
16:09:06.579 [main] INFO  Factile_Mode.DGBP_B_TestCase_2 - Mascot image is uploaded
16:10:54.349 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - Driver is Initilize
16:10:58.814 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - Navigated to homePage
16:14:16.725 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - Background image is successfully loaded at gameboard, image url is= background: url("https://factile-test-dynamic.s3.amazonaws.com/backgrounds/bg1605264168199pf92136.jpg");
16:14:16.743 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - At Modearter >> Game Board Color is=background-color: rgb(255, 255, 255);
16:14:16.770 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - At Modearter >> Question Tile Color & Dollar colour is=background-color: rgb(242, 184, 58); color: rgb(31, 31, 31);
16:14:16.791 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - At Modearter >> game category title color=color: rgb(135, 81, 232); font-size: 16px;
16:14:20.832 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - At player >> gameboard background image is>>background: url("https://factile-test-dynamic.s3.amazonaws.com/backgrounds/bg1605264168199pf92136.jpg");
16:14:20.850 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - At player >> gameboard gameboard colour is =>>background: rgb(255, 255, 255);
16:14:20.869 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - At player >>game tile color is =>>background: rgb(242, 184, 58);
16:14:20.894 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_3 - At player >>Dollar colour is=>>color: rgb(31, 31, 31);
