11:34:44.959 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_29 - Driver is Initilize
11:34:46.832 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_29 - Navigated to homePage
11:48:31.610 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Driver is Initilize
11:48:32.427 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Navigated to homePage
11:48:53.783 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - At customization page>> >>Buzzer for final factile is on from customization
11:53:43.153 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Driver is Initilize
11:53:43.896 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Navigated to homePage
11:54:06.634 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - At customization page>> >>Buzzer for final factile is on from customization
12:17:50.668 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Driver is Initilize
12:17:51.515 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Navigated to homePage
12:18:12.893 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - At customization page>> >>Buzzer for final factile is on from customization
13:25:07.936 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Driver is Initilize
13:25:08.617 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Navigated to homePage
13:25:30.046 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - At customization page>> >>Buzzer for final factile is on from customization
13:44:35.570 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Driver is Initilize
13:44:36.353 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Navigated to homePage
13:44:57.945 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - At customization page>> >>Buzzer for final factile is on from customization
13:54:32.136 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Driver is Initilize
13:54:32.851 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Navigated to homePage
13:54:55.965 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - At customization page>> >>Buzzer for final factile is on from customization
14:35:27.828 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Driver is Initilize
14:35:28.594 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Navigated to homePage
14:35:50.751 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - At customization page>> >>Buzzer for final factile is on from customization
14:48:22.517 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Driver is Initilize
14:48:23.579 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Navigated to homePage
14:48:47.880 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - At customization page>> >>Buzzer for final factile is on from customization
14:51:14.017 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Driver is Initilize
14:51:15.480 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Navigated to homePage
14:51:37.762 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - At customization page>> >>Buzzer for final factile is on from customization
14:54:27.501 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Driver is Initilize
14:54:29.024 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Navigated to homePage
14:54:51.596 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - At customization page>> >>Buzzer for final factile is on from customization
15:00:39.746 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Driver is Initilize
15:00:41.229 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Navigated to homePage
15:01:07.425 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - At customization page>> >>Buzzer for final factile is on from customization
15:14:46.438 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Driver is Initilize
15:14:47.960 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Navigated to homePage
15:15:10.530 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - At customization page>> >>Buzzer for final factile is on from customization
15:20:49.992 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Driver is Initilize
15:20:51.606 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Navigated to homePage
15:21:14.377 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - At customization page>> >>Buzzer for final factile is on from customization
15:33:16.973 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_44 - Driver is Initilize
15:33:18.599 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_44 - Navigated to homePage
15:33:41.255 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_44 - At customization page>> >>Buzzer for final factile is on from customization
15:44:40.717 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Driver is Initilize
15:44:42.145 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - Navigated to homePage
15:45:05.139 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_42 - At customization page>> >>Buzzer for final factile is on from customization
15:48:52.579 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Driver is Initilize
15:48:54.064 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - Navigated to homePage
15:49:16.853 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_43 - At customization page>> >>Buzzer for final factile is on from customization
