13:27:54.358 [main] INFO  Factile_Mode_v3.DisplayQuestionOnGameBoardTileUnChecked - Driver is Initilize
13:28:01.247 [main] INFO  Factile_Mode_v3.DisplayQuestionOnGameBoardTileUnChecked - Navigated to homePage
13:28:18.089 [main] INFO  Factile_Mode_v3.DisplayQuestionOnGameBoardTileUnChecked - At customization page>> Checked Display Exact Case >> 
13:29:38.366 [main] INFO  Factile_Mode_v3.DisplayQuestionOnGameBoardTileUnChecked - Display question on GameBoard>> When UnChecked
13:29:45.936 [main] INFO  Factile_Mode_v3.HideCategoryWithPointsChecked - Driver is Initilize
13:29:51.572 [main] INFO  Factile_Mode_v3.HideCategoryWithPointsChecked - Navigated to homePage
13:30:04.832 [main] INFO  Factile_Mode_v3.HideCategoryWithPointsChecked - At customization page>> Check Hide Category with Points>> 
13:31:06.163 [main] INFO  Factile_Mode_v3.HideCategoryWithPointsChecked - Hide category with points is working fine>> When Checked
13:31:13.913 [main] INFO  Factile_Mode_v3.HideCategoryWithPointsUnChecked - Driver is Initilize
13:31:21.654 [main] INFO  Factile_Mode_v3.HideCategoryWithPointsUnChecked - Navigated to homePage
13:31:35.364 [main] INFO  Factile_Mode_v3.HideCategoryWithPointsUnChecked - At customization page>> Check Hide Category with Points>> 
13:32:36.326 [main] INFO  Factile_Mode_v3.HideCategoryWithPointsUnChecked - Hide category with points is not working >>When UnChecked
13:32:43.921 [main] INFO  Factile_Mode_v3.PlayAsJeopardyStyle - Driver is Initilize
13:32:50.037 [main] INFO  Factile_Mode_v3.PlayAsJeopardyStyle - Navigated to homePage
13:33:02.244 [main] INFO  Factile_Mode_v3.PlayAsJeopardyStyle - At customization page>> Checked Play As Numbered Tiles Instead Of Jeopardy-style >> 
13:34:11.684 [main] INFO  Factile_Mode_v3.PlayAsJeopardyStyle - Play as Jeopardy Style
13:34:19.506 [main] INFO  Factile_Mode_v3.PlayAsNumberedTilesInsteadOfJeopardyStyleChecked - Driver is Initilize
13:34:27.401 [main] INFO  Factile_Mode_v3.PlayAsNumberedTilesInsteadOfJeopardyStyleChecked - Navigated to homePage
13:34:42.137 [main] INFO  Factile_Mode_v3.PlayAsNumberedTilesInsteadOfJeopardyStyleChecked - At customization page>> Checked Play As Numbered Tiles Instead Of Jeopardy-style >> 
13:36:49.137 [main] INFO  Factile_Mode_v3.DailyDouble - Driver is Initilize
13:36:56.481 [main] INFO  Factile_Mode_v3.DailyDouble - Navigated to homePage
13:37:23.781 [main] INFO  Factile_Mode_v3.DailyDouble - At customization page>> Checked Daily Double >> 
13:39:50.425 [main] INFO  Factile_Mode_v3.DailyDouble - Daily Double is working fine
13:39:58.496 [main] INFO  Factile_Mode_v3.ManuallyEnableAndDisableTheBuzzer - Driver is Initilize
13:40:05.816 [main] INFO  Factile_Mode_v3.ManuallyEnableAndDisableTheBuzzer - Navigated to homePage
13:40:25.537 [main] INFO  Factile_Mode_v3.ManuallyEnableAndDisableTheBuzzer - At customization page>> Manually Enable/disable The Buzzer is checked >> 
13:41:56.942 [main] INFO  Factile_Mode_v3.ManuallyEnableAndDisableTheBuzzer - Enable/Disable buzzer is working fine
13:42:27.896 [main] INFO  Factile_Mode_v3.ManuallyEnableAndDisableTheBuzzer - Enable/Disable buzzer is working fine
13:42:58.786 [main] INFO  Factile_Mode_v3.ManuallyEnableAndDisableTheBuzzer - Enable/Disable buzzer is working fine
13:43:29.734 [main] INFO  Factile_Mode_v3.ManuallyEnableAndDisableTheBuzzer - Enable/Disable buzzer is working fine
13:44:00.640 [main] INFO  Factile_Mode_v3.ManuallyEnableAndDisableTheBuzzer - Enable/Disable buzzer is working fine
13:44:31.522 [main] INFO  Factile_Mode_v3.ManuallyEnableAndDisableTheBuzzer - Enable/Disable buzzer is working fine
13:44:39.241 [main] INFO  Factile_Mode_v3.ShowSkipQuestionButton - Driver is Initilize
13:44:45.960 [main] INFO  Factile_Mode_v3.ShowSkipQuestionButton - Navigated to homePage
13:45:13.641 [main] INFO  Factile_Mode_v3.ShowSkipQuestionButton - At customization page>> Show Skip Question Button is Checked >> 
13:46:23.730 [main] INFO  Factile_Mode_v3.ShowSkipQuestionButton - Show Skip Question button is working fine
13:46:31.478 [main] INFO  Factile_Mode_v3.SkipAndSeeAnswer - Driver is Initilize
13:46:37.578 [main] INFO  Factile_Mode_v3.SkipAndSeeAnswer - Navigated to homePage
13:48:04.500 [main] INFO  Factile_Mode_v3.SkipAndSeeAnswer - Skip/See Answer is working fine
13:51:26.382 [main] INFO  Factile_Mode_v3.PlayAsNumberedTilesInsteadOfJeopardyStyleChecked - Driver is Initilize
13:51:34.611 [main] INFO  Factile_Mode_v3.PlayAsNumberedTilesInsteadOfJeopardyStyleChecked - Navigated to homePage
13:51:49.601 [main] INFO  Factile_Mode_v3.PlayAsNumberedTilesInsteadOfJeopardyStyleChecked - At customization page>> Checked Play As Numbered Tiles Instead Of Jeopardy-style >> 
13:52:51.585 [main] INFO  Factile_Mode_v3.PlayAsNumberedTilesInsteadOfJeopardyStyleChecked - Play as Numbered Tiles Instead OF Jeopardy Style
13:54:41.216 [main] INFO  Factile_Mode_v3.GoProToSubscriptionBussinessMonthlyData_Verify - Driver is Initilize
13:54:47.341 [main] INFO  Factile_Mode_v3.GoProToSubscriptionBussinessMonthlyData_Verify - Navigated to homePage
