12:12:58.456 [main] INFO  Factile_Mode_v3.DisplayAnswerButtonChecked - Navigated to homePage
12:13:12.800 [main] INFO  Factile_Mode_v3.DisplayAnswerButtonChecked - At customization page>> Checked Display Answer Button >> 
12:19:01.825 [main] INFO  Factile_Mode_v3.DisplayAnswerButtonChecked - Driver is Initilize
12:19:10.475 [main] INFO  Factile_Mode_v3.DisplayAnswerButtonChecked - Navigated to homePage
12:19:25.729 [main] INFO  Factile_Mode_v3.DisplayAnswerButtonChecked - At customization page>> Checked Display Answer Button >> 
12:20:29.447 [main] INFO  Factile_Mode_v3.DisplayAnswerButtonChecked - Display Answer Button>> When Checked
12:20:38.484 [main] INFO  Factile_Mode_v3.DisplayExactCaseChecked - Driver is Initilize
12:20:45.824 [main] INFO  Factile_Mode_v3.DisplayExactCaseChecked - Navigated to homePage
12:21:00.546 [main] INFO  Factile_Mode_v3.DisplayExactCaseChecked - At customization page>> Checked Display Exact Case >> 
12:22:15.921 [main] INFO  Factile_Mode_v3.DisplayExactCaseChecked - Display Exact Case>> When Checked
12:22:24.054 [main] INFO  Factile_Mode_v3.DisplayExactCaseUnChecked - Driver is Initilize
12:22:33.849 [main] INFO  Factile_Mode_v3.DisplayExactCaseUnChecked - Navigated to homePage
12:22:48.758 [main] INFO  Factile_Mode_v3.DisplayExactCaseUnChecked - At customization page>> Checked Display Exact Case >> 
12:23:54.699 [main] INFO  Factile_Mode_v3.DisplayExactCaseUnChecked - Display Exact Case>> When Checked
12:24:02.663 [main] INFO  Factile_Mode_v3.DisplayQuestionOnGameBoardTileChecked - Driver is Initilize
12:24:08.444 [main] INFO  Factile_Mode_v3.DisplayQuestionOnGameBoardTileChecked - Navigated to homePage
12:24:23.154 [main] INFO  Factile_Mode_v3.DisplayQuestionOnGameBoardTileChecked - At customization page>> Checked Display Exact Case >> 
12:25:42.681 [main] INFO  Factile_Mode_v3.DisplayQuestionOnGameBoardTileChecked - Display question on GameBoard>> When Checked
12:25:50.420 [main] INFO  Factile_Mode_v3.DisplayQuestionOnGameBoardTileUnChecked - Driver is Initilize
12:25:58.564 [main] INFO  Factile_Mode_v3.DisplayQuestionOnGameBoardTileUnChecked - Navigated to homePage
12:26:13.841 [main] INFO  Factile_Mode_v3.DisplayQuestionOnGameBoardTileUnChecked - At customization page>> Checked Display Exact Case >> 
12:27:34.306 [main] INFO  Factile_Mode_v3.DisplayQuestionOnGameBoardTileUnChecked - Display question on GameBoard>> When UnChecked
12:27:42.398 [main] INFO  Factile_Mode_v3.HideCategoryWithPointsChecked - Driver is Initilize
12:27:51.650 [main] INFO  Factile_Mode_v3.HideCategoryWithPointsChecked - Navigated to homePage
12:28:11.132 [main] INFO  Factile_Mode_v3.HideCategoryWithPointsChecked - At customization page>> Check Hide Category with Points>> 
12:29:14.167 [main] INFO  Factile_Mode_v3.HideCategoryWithPointsChecked - Hide category with points is working fine>> When Checked
12:29:22.063 [main] INFO  Factile_Mode_v3.HideCategoryWithPointsUnChecked - Driver is Initilize
12:29:37.117 [main] INFO  Factile_Mode_v3.HideCategoryWithPointsUnChecked - Navigated to homePage
12:29:51.715 [main] INFO  Factile_Mode_v3.HideCategoryWithPointsUnChecked - At customization page>> Check Hide Category with Points>> 
12:31:02.180 [main] INFO  Factile_Mode_v3.HideCategoryWithPointsUnChecked - Hide category with points is not working >>When UnChecked
